id,vpn_code,data
377034,3578,"{""site"" : {""id"": 377034, ""name"": ""EA_MAE_XOM_Chemical_Iberia_SL_Zoom"", ""state"": ""OPENED"", ""it_key"": ""YY163902775Li"", ""pidflo"": ""<?xml version=\""1.0\"" encoding=\""UTF-8\""?><presence xmlns=\""urn:ietf:params:xml:ns:pidf\"" xmlns:gp=\""urn:ietf:params:xml:ns:pidf:geopriv10\"" xmlns:cl=\""urn:ietf:params:xml:ns:pidf:geopriv10:civicLoc\"" xmlns:btd=\""http://btd.orange-business.com\"" entity=\""pres:geotarget@btip.orange-business.com\""><tuple id=\""sg89ae\""><status><gp:geopriv><gp:location-info><cl:civicAddress><cl:country>ES</cl:country><cl:A1>MADRID</cl:A1><cl:A3>Madrid</cl:A3><cl:A6>Paseo Doce Estrellas</cl:A6><cl:HNO>2</cl:HNO><cl:STS>Barajas</cl:STS><cl:PC>28042</cl:PC></cl:civicAddress></gp:location-info><gp:usage-rules></gp:usage-rules></gp:geopriv></status></tuple></presence>"", ""scl_id"": null, ""vpn_id"": ""3578"", ""site_town"": ""BTD"", ""site_type"": ""NORMAL_SINGLE_CONNECTED"", ""bcr_product"": ""RETAIL"", ""hkh_site_id"": ""377034"", ""country_code"": ""34"", ""country_name"": ""Spain"", ""customer_name"": ""EXXONMOBIL"", ""gvpn_ivr_flag"": ""0"", ""cdr_text_field"": null, ""dpac_off_local"": null, ""prefix_private"": ""000"", ""time_zone_name"": ""None"", ""reroute_profile"": null, ""default_cde_info"": ""999"", ""dto_for_incoming"": false, ""group_of_sa_equip"": ""None"", ""bcr_exception_list"": null, ""called_header_list"": [], ""customer_reference"": ""23651"", ""accounting_code_len"": 0, ""autocutoff_expcalls"": 0, ""calling_header_list"": [], ""global_call_limiter"": null, ""prefix_international"": ""00"", ""default_public_number"": ""34919025190"", ""incoming_call_limiter"": null, ""outgoing_call_limiter"": null, ""default_private_number"": ""34"", ""incoming_black_list_id"": null, ""max_connection_attempt"": 4, ""prefix_offnet_domestic"": ""0000"", ""cdr_default_dw_acs_type"": 20, ""number_pre_analysis_name"": ""ESP_Default"", ""optional_accounting_code"": ""0"", ""call_screening_dto_for_outgoing"": true, ""call_screening_von_call_allowed"": true, ""call_screening_mobile_call_allowed"": true, ""call_screening_short_number_allowed"": true, ""call_screening_domestic_call_allowed"": true, ""call_screening_expensive_call_allowed"": true, ""call_screening_emergency_number_allowed"": true, ""call_screening_international_call_allowed"": true}, ""access"" : [{""id"" : -1, ""equipment_id"" : 62242, ""site_id"" : 377034, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098993578"", ""called_prefix"" : ""09"", ""called_number_in_public_format"" : false, ""flexible_called"" : ""PubFulld"", ""flexible_calling"" : null, ""calling_number_in_public_format"" : true, ""full_prefix"" : ""098930005"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}], ""numbering_plan"" : [{""id"" : -1, ""site_id"" : 377034, ""vpn_id"" : 3578, ""public_start"" : ""34919025190"", ""public_end"" : ""34919025199"", ""private_start"" : null, ""private_end"" : null, ""single_public_number"" : null, ""btlvs_flag"" : true, ""btip_flag"" : true, ""forced_onnet"" : true, ""cli_policy"" : true, ""cdr_text"" : null, ""dto_start"" : null, ""single_dto_number"" : null, ""max_length_public"" : 32, ""max_length_private"" : 0, ""priority_level"" : 100, ""cnl_id"" : null}]}"
148,3105,"{""site"" : {""id"": 148, ""name"": ""208-Prague"", ""state"": ""OPENED"", ""it_key"": ""zz148"", ""pidflo"": null, ""scl_id"": null, ""vpn_id"": ""3105"", ""site_town"": null, ""site_type"": ""VIRTUAL_ONNET"", ""bcr_product"": ""RETAIL"", ""hkh_site_id"": ""148"", ""country_code"": ""420"", ""country_name"": ""Czech Republic"", ""customer_name"": ""Orange Business Services (OBS) CVS (IN)"", ""gvpn_ivr_flag"": ""0"", ""cdr_text_field"": null, ""dpac_off_local"": null, ""prefix_private"": """", ""time_zone_name"": ""None"", ""reroute_profile"": null, ""default_cde_info"": null, ""dto_for_incoming"": false, ""group_of_sa_equip"": ""None"", ""bcr_exception_list"": null, ""called_header_list"": [], ""customer_reference"": null, ""accounting_code_len"": 0, ""autocutoff_expcalls"": 0, ""calling_header_list"": [], ""global_call_limiter"": null, ""prefix_international"": """", ""default_public_number"": ""420222081300"", ""incoming_call_limiter"": null, ""outgoing_call_limiter"": null, ""default_private_number"": ""4202081300"", ""incoming_black_list_id"": null, ""max_connection_attempt"": 6, ""prefix_offnet_domestic"": """", ""cdr_default_dw_acs_type"": 0, ""number_pre_analysis_name"": ""CZE_Default"", ""optional_accounting_code"": ""0"", ""call_screening_dto_for_outgoing"": true, ""call_screening_von_call_allowed"": true, ""call_screening_mobile_call_allowed"": true, ""call_screening_short_number_allowed"": false, ""call_screening_domestic_call_allowed"": true, ""call_screening_expensive_call_allowed"": true, ""call_screening_emergency_number_allowed"": false, ""call_screening_international_call_allowed"": true}, ""access"" : [], ""numbering_plan"" : [{""id"" : -1, ""site_id"" : 148, ""vpn_id"" : 3105, ""public_start"" : ""420222081300"", ""public_end"" : ""420222081499"", ""private_start"" : ""2081300"", ""private_end"" : ""2081499"", ""single_public_number"" : null, ""btlvs_flag"" : false, ""btip_flag"" : false, ""forced_onnet"" : false, ""cli_policy"" : false, ""cdr_text"" : null, ""dto_start"" : null, ""single_dto_number"" : null, ""max_length_public"" : 32, ""max_length_private"" : 32, ""priority_level"" : 110, ""cnl_id"" : null}, {""id"" : -1, ""site_id"" : 148, ""vpn_id"" : 3105, ""public_start"" : ""420222085100"", ""public_end"" : ""420222085199"", ""private_start"" : ""2085100"", ""private_end"" : ""2085199"", ""single_public_number"" : null, ""btlvs_flag"" : false, ""btip_flag"" : false, ""forced_onnet"" : false, ""cli_policy"" : false, ""cdr_text"" : null, ""dto_start"" : null, ""single_dto_number"" : null, ""max_length_public"" : 32, ""max_length_private"" : 32, ""priority_level"" : 110, ""cnl_id"" : null}]}"
392327,4934,"{""site"" : {""id"": 392327, ""name"": ""RETRAITE ESPACE GRAND AGE"", ""state"": ""NOT_YET_OPENED"", ""it_key"": ""YY165753164m2"", ""pidflo"": ""<?xml version=\""1.0\"" encoding=\""UTF-8\""?><presence xmlns=\""urn:ietf:params:xml:ns:pidf\"" xmlns:gp=\""urn:ietf:params:xml:ns:pidf:geopriv10\"" xmlns:cl=\""urn:ietf:params:xml:ns:pidf:geopriv10:civicLoc\"" xmlns:btd=\""http://btd.orange-business.com\"" entity=\""pres:geotarget@btip.orange-business.com\""><tuple id=\""sg89ae\""><status><gp:geopriv><gp:location-info><cl:civicAddress><cl:country>FR</cl:country><cl:A2>47</cl:A2><cl:A3>MARMANDE</cl:A3><cl:A6>DES ISSERTS</cl:A6><cl:HNO>18</cl:HNO><cl:STS>RUE</cl:STS><cl:PC>47200</cl:PC><cl:CITYCODE>47157</cl:CITYCODE></cl:civicAddress></gp:location-info><gp:usage-rules></gp:usage-rules></gp:geopriv></status></tuple></presence>"", ""scl_id"": null, ""vpn_id"": ""4934"", ""site_town"": ""BTD"", ""site_type"": ""NORMAL_SINGLE_CONNECTED"", ""bcr_product"": ""RETAIL"", ""hkh_site_id"": ""392327"", ""country_code"": ""33"", ""country_name"": ""France BTLVS"", ""customer_name"": ""Orange SA_TEAMING_Production"", ""gvpn_ivr_flag"": ""0"", ""cdr_text_field"": ""BTD_YY148473192nV"", ""dpac_off_local"": null, ""prefix_private"": ""000"", ""time_zone_name"": ""None"", ""reroute_profile"": null, ""default_cde_info"": ""999"", ""dto_for_incoming"": false, ""group_of_sa_equip"": ""None"", ""bcr_exception_list"": ""EXCP_BTLVS_FRA_mandatory_ODOM"", ""called_header_list"": [], ""customer_reference"": ""660341"", ""accounting_code_len"": 0, ""autocutoff_expcalls"": 0, ""calling_header_list"": [], ""global_call_limiter"": null, ""prefix_international"": ""00"", ""default_public_number"": ""33554420005"", ""incoming_call_limiter"": null, ""outgoing_call_limiter"": null, ""default_private_number"": ""33"", ""incoming_black_list_id"": null, ""max_connection_attempt"": 4, ""prefix_offnet_domestic"": ""0"", ""cdr_default_dw_acs_type"": 20, ""number_pre_analysis_name"": ""FRA_Default"", ""optional_accounting_code"": ""0"", ""call_screening_dto_for_outgoing"": true, ""call_screening_von_call_allowed"": true, ""call_screening_mobile_call_allowed"": true, ""call_screening_short_number_allowed"": true, ""call_screening_domestic_call_allowed"": true, ""call_screening_expensive_call_allowed"": true, ""call_screening_emergency_number_allowed"": true, ""call_screening_international_call_allowed"": true}, ""access"" : [{""id"" : -1, ""equipment_id"" : 149725, ""site_id"" : 392327, ""rank"" : 0, ""load"" : 1, ""cdr_info"" : ""098994934"", ""called_prefix"" : ""04"", ""called_number_in_public_format"" : true, ""flexible_called"" : null, ""flexible_calling"" : null, ""calling_number_in_public_format"" : true, ""full_prefix"" : ""042385693"", ""calling_format"" : ""E164"", ""called_cli_policy"" : ""SIPDA""}], ""numbering_plan"" : [{""id"" : -1, ""site_id"" : 392327, ""vpn_id"" : 4934, ""public_start"" : ""33554420005"", ""public_end"" : ""33554420006"", ""private_start"" : null, ""private_end"" : null, ""single_public_number"" : null, ""btlvs_flag"" : true, ""btip_flag"" : true, ""forced_onnet"" : true, ""cli_policy"" : true, ""cdr_text"" : null, ""dto_start"" : null, ""single_dto_number"" : null, ""max_length_public"" : 32, ""max_length_private"" : 0, ""priority_level"" : 100, ""cnl_id"" : null}]}"
159,3103,"{""site"" : {""id"": 159, ""name"": ""Frankfurt_fra1086"", ""state"": ""CLOSED"", ""it_key"": ""zz159"", ""pidflo"": null, ""scl_id"": null, ""vpn_id"": ""3103"", ""site_town"": null, ""site_type"": ""NORMAL_SINGLE_CONNECTED"", ""bcr_product"": ""RETAIL"", ""hkh_site_id"": ""159"", ""country_code"": ""49"", ""country_name"": ""Germany"", ""customer_name"": ""DemoNet-Equant VoIP Demo"", ""gvpn_ivr_flag"": ""0"", ""cdr_text_field"": null, ""dpac_off_local"": null, ""prefix_private"": """", ""time_zone_name"": ""None"", ""reroute_profile"": null, ""default_cde_info"": ""999"", ""dto_for_incoming"": false, ""group_of_sa_equip"": ""None"", ""bcr_exception_list"": null, ""called_header_list"": [], ""customer_reference"": ""604"", ""accounting_code_len"": 0, ""autocutoff_expcalls"": 0, ""calling_header_list"": [], ""global_call_limiter"": null, ""prefix_international"": """", ""default_public_number"": ""496196962100"", ""incoming_call_limiter"": null, ""outgoing_call_limiter"": null, ""default_private_number"": ""4975350000"", ""incoming_black_list_id"": null, ""max_connection_attempt"": 6, ""prefix_offnet_domestic"": """", ""cdr_default_dw_acs_type"": 10, ""number_pre_analysis_name"": ""DEU_Default"", ""optional_accounting_code"": ""0"", ""call_screening_dto_for_outgoing"": true, ""call_screening_von_call_allowed"": true, ""call_screening_mobile_call_allowed"": true, ""call_screening_short_number_allowed"": false, ""call_screening_domestic_call_allowed"": true, ""call_screening_expensive_call_allowed"": false, ""call_screening_emergency_number_allowed"": false, ""call_screening_international_call_allowed"": true}, ""access"" : [], ""numbering_plan"" : [{""id"" : -1, ""site_id"" : 159, ""vpn_id"" : 3103, ""public_start"" : ""4975350001"", ""public_end"" : ""4975350999"", ""private_start"" : ""75350001"", ""private_end"" : ""75350999"", ""single_public_number"" : null, ""btlvs_flag"" : false, ""btip_flag"" : false, ""forced_onnet"" : true, ""cli_policy"" : true, ""cdr_text"" : null, ""dto_start"" : null, ""single_dto_number"" : null, ""max_length_public"" : 32, ""max_length_private"" : 32, ""priority_level"" : 110, ""cnl_id"" : null}]}"
160,3103,"{""site"" : {""id"": 160, ""name"": ""Amsterdam_ams1010"", ""state"": ""CLOSED"", ""it_key"": ""zz160"", ""pidflo"": null, ""scl_id"": null, ""vpn_id"": ""3103"", ""site_town"": null, ""site_type"": ""NORMAL_SINGLE_CONNECTED"", ""bcr_product"": ""RETAIL"", ""hkh_site_id"": ""160"", ""country_code"": ""31"", ""country_name"": ""Netherlands"", ""customer_name"": ""DemoNet-Equant VoIP Demo"", ""gvpn_ivr_flag"": ""0"", ""cdr_text_field"": null, ""dpac_off_local"": null, ""prefix_private"": """", ""time_zone_name"": ""None"", ""reroute_profile"": null, ""default_cde_info"": ""998"", ""dto_for_incoming"": false, ""group_of_sa_equip"": ""None"", ""bcr_exception_list"": null, ""called_header_list"": [], ""customer_reference"": ""604"", ""accounting_code_len"": 0, ""autocutoff_expcalls"": 0, ""calling_header_list"": [], ""global_call_limiter"": null, ""prefix_international"": """", ""default_public_number"": ""31205818200"", ""incoming_call_limiter"": null, ""outgoing_call_limiter"": null, ""default_private_number"": ""3175270000"", ""incoming_black_list_id"": null, ""max_connection_attempt"": 6, ""prefix_offnet_domestic"": """", ""cdr_default_dw_acs_type"": 10, ""number_pre_analysis_name"": ""NLD_Default"", ""optional_accounting_code"": ""0"", ""call_screening_dto_for_outgoing"": true, ""call_screening_von_call_allowed"": true, ""call_screening_mobile_call_allowed"": true, ""call_screening_short_number_allowed"": false, ""call_screening_domestic_call_allowed"": true, ""call_screening_expensive_call_allowed"": true, ""call_screening_emergency_number_allowed"": false, ""call_screening_international_call_allowed"": true}, ""access"" : [], ""numbering_plan"" : [{""id"" : -1, ""site_id"" : 160, ""vpn_id"" : 3103, ""public_start"" : null, ""public_end"" : null, ""private_start"" : ""75270000"", ""private_end"" : ""75270999"", ""single_public_number"" : null, ""btlvs_flag"" : false, ""btip_flag"" : false, ""forced_onnet"" : true, ""cli_policy"" : true, ""cdr_text"" : null, ""dto_start"" : null, ""single_dto_number"" : null, ""max_length_public"" : 0, ""max_length_private"" : 32, ""priority_level"" : 110, ""cnl_id"" : null}]}"
161,3103,"{""site"" : {""id"": 161, ""name"": ""Copenhaguen_cph572"", ""state"": ""CLOSED"", ""it_key"": ""zz161"", ""pidflo"": null, ""scl_id"": null, ""vpn_id"": ""3103"", ""site_town"": null, ""site_type"": ""NORMAL_SINGLE_CONNECTED"", ""bcr_product"": ""RETAIL"", ""hkh_site_id"": ""161"", ""country_code"": ""49"", ""country_name"": ""Germany"", ""customer_name"": ""DemoNet-Equant VoIP Demo"", ""gvpn_ivr_flag"": ""0"", ""cdr_text_field"": null, ""dpac_off_local"": null, ""prefix_private"": """", ""time_zone_name"": ""None"", ""reroute_profile"": null, ""default_cde_info"": ""997"", ""dto_for_incoming"": false, ""group_of_sa_equip"": ""None"", ""bcr_exception_list"": null, ""called_header_list"": [], ""customer_reference"": ""604"", ""accounting_code_len"": 0, ""autocutoff_expcalls"": 0, ""calling_header_list"": [], ""global_call_limiter"": null, ""prefix_international"": """", ""default_public_number"": ""496196962100"", ""incoming_call_limiter"": null, ""outgoing_call_limiter"": null, ""default_private_number"": ""4975560000"", ""incoming_black_list_id"": null, ""max_connection_attempt"": 6, ""prefix_offnet_domestic"": """", ""cdr_default_dw_acs_type"": 10, ""number_pre_analysis_name"": ""DEU_Default"", ""optional_accounting_code"": ""0"", ""call_screening_dto_for_outgoing"": true, ""call_screening_von_call_allowed"": true, ""call_screening_mobile_call_allowed"": true, ""call_screening_short_number_allowed"": false, ""call_screening_domestic_call_allowed"": true, ""call_screening_expensive_call_allowed"": false, ""call_screening_emergency_number_allowed"": false, ""call_screening_international_call_allowed"": true}, ""access"" : [], ""numbering_plan"" : [{""id"" : -1, ""site_id"" : 161, ""vpn_id"" : 3103, ""public_start"" : null, ""public_end"" : null, ""private_start"" : ""75560000"", ""private_end"" : ""75560999"", ""single_public_number"" : null, ""btlvs_flag"" : false, ""btip_flag"" : false, ""forced_onnet"" : true, ""cli_policy"" : true, ""cdr_text"" : null, ""dto_start"" : null, ""single_dto_number"" : null, ""max_length_public"" : 0, ""max_length_private"" : 32, ""priority_level"" : 110, ""cnl_id"" : null}]}"
162,3103,"{""site"" : {""id"": 162, ""name"": ""EUMA_Mobile_lon3686"", ""state"": ""CLOSED"", ""it_key"": ""zz162"", ""pidflo"": null, ""scl_id"": null, ""vpn_id"": ""3103"", ""site_town"": null, ""site_type"": ""NORMAL_SINGLE_CONNECTED"", ""bcr_product"": ""RETAIL"", ""hkh_site_id"": ""162"", ""country_code"": ""44"", ""country_name"": ""United Kingdom"", ""customer_name"": ""DemoNet-Equant VoIP Demo"", ""gvpn_ivr_flag"": ""0"", ""cdr_text_field"": null, ""dpac_off_local"": null, ""prefix_private"": """", ""time_zone_name"": ""None"", ""reroute_profile"": null, ""default_cde_info"": ""992"", ""dto_for_incoming"": false, ""group_of_sa_equip"": ""None"", ""bcr_exception_list"": null, ""called_header_list"": [], ""customer_reference"": ""604"", ""accounting_code_len"": 0, ""autocutoff_expcalls"": 0, ""calling_header_list"": [], ""global_call_limiter"": null, ""prefix_international"": """", ""default_public_number"": ""442087301200"", ""incoming_call_limiter"": null, ""outgoing_call_limiter"": null, ""default_private_number"": ""4475010000"", ""incoming_black_list_id"": null, ""max_connection_attempt"": 6, ""prefix_offnet_domestic"": """", ""cdr_default_dw_acs_type"": 10, ""number_pre_analysis_name"": ""GBR_Default"", ""optional_accounting_code"": ""0"", ""call_screening_dto_for_outgoing"": true, ""call_screening_von_call_allowed"": true, ""call_screening_mobile_call_allowed"": true, ""call_screening_short_number_allowed"": false, ""call_screening_domestic_call_allowed"": true, ""call_screening_expensive_call_allowed"": true, ""call_screening_emergency_number_allowed"": false, ""call_screening_international_call_allowed"": true}, ""access"" : [], ""numbering_plan"" : [{""id"" : -1, ""site_id"" : 162, ""vpn_id"" : 3103, ""public_start"" : null, ""public_end"" : null, ""private_start"" : ""75010000"", ""private_end"" : ""75010999"", ""single_public_number"" : null, ""btlvs_flag"" : false, ""btip_flag"" : false, ""forced_onnet"" : true, ""cli_policy"" : true, ""cdr_text"" : null, ""dto_start"" : null, ""single_dto_number"" : null, ""max_length_public"" : 0, ""max_length_private"" : 32, ""priority_level"" : 110, ""cnl_id"" : null}]}"
163,3103,"{""site"" : {""id"": 163, ""name"": ""Hong-Kong_hkg1301"", ""state"": ""CLOSED"", ""it_key"": ""zz163"", ""pidflo"": null, ""scl_id"": null, ""vpn_id"": ""3103"", ""site_town"": null, ""site_type"": ""NORMAL_SINGLE_CONNECTED"", ""bcr_product"": ""RETAIL"", ""hkh_site_id"": ""163"", ""country_code"": ""61"", ""country_name"": ""Australia"", ""customer_name"": ""DemoNet-Equant VoIP Demo"", ""gvpn_ivr_flag"": ""0"", ""cdr_text_field"": null, ""dpac_off_local"": null, ""prefix_private"": """", ""time_zone_name"": ""None"", ""reroute_profile"": null, ""default_cde_info"": ""996"", ""dto_for_incoming"": false, ""group_of_sa_equip"": ""None"", ""bcr_exception_list"": null, ""called_header_list"": [], ""customer_reference"": ""604"", ""accounting_code_len"": 0, ""autocutoff_expcalls"": 0, ""calling_header_list"": [], ""global_call_limiter"": null, ""prefix_international"": """", ""default_public_number"": ""61283043000"", ""incoming_call_limiter"": null, ""outgoing_call_limiter"": null, ""default_private_number"": ""6175330000"", ""incoming_black_list_id"": null, ""max_connection_attempt"": 6, ""prefix_offnet_domestic"": """", ""cdr_default_dw_acs_type"": 10, ""number_pre_analysis_name"": ""AUS_Default"", ""optional_accounting_code"": ""0"", ""call_screening_dto_for_outgoing"": true, ""call_screening_von_call_allowed"": true, ""call_screening_mobile_call_allowed"": true, ""call_screening_short_number_allowed"": false, ""call_screening_domestic_call_allowed"": true, ""call_screening_expensive_call_allowed"": true, ""call_screening_emergency_number_allowed"": false, ""call_screening_international_call_allowed"": true}, ""access"" : [], ""numbering_plan"" : [{""id"" : -1, ""site_id"" : 163, ""vpn_id"" : 3103, ""public_start"" : null, ""public_end"" : null, ""private_start"" : ""75330000"", ""private_end"" : ""75330999"", ""single_public_number"" : null, ""btlvs_flag"" : false, ""btip_flag"" : false, ""forced_onnet"" : true, ""cli_policy"" : true, ""cdr_text"" : null, ""dto_start"" : null, ""single_dto_number"" : null, ""max_length_public"" : 0, ""max_length_private"" : 32, ""priority_level"" : 110, ""cnl_id"" : null}]}"
51013,3512,"{""site"" : {""id"": 51013, ""name"": ""IRL_GMOIR01"", ""state"": ""OPENED"", ""it_key"": ""zz51013"", ""pidflo"": null, ""scl_id"": null, ""vpn_id"": ""3512"", ""site_town"": null, ""site_type"": ""VIRTUAL_ONNET"", ""bcr_product"": ""RETAIL"", ""hkh_site_id"": ""51013"", ""country_code"": ""353"", ""country_name"": ""Ireland"", ""customer_name"": ""OPEL Automobile GmbH"", ""gvpn_ivr_flag"": ""0"", ""cdr_text_field"": null, ""dpac_off_local"": null, ""prefix_private"": """", ""time_zone_name"": ""None"", ""reroute_profile"": null, ""default_cde_info"": null, ""dto_for_incoming"": true, ""group_of_sa_equip"": ""None"", ""bcr_exception_list"": null, ""called_header_list"": [], ""customer_reference"": ""23658"", ""accounting_code_len"": 0, ""autocutoff_expcalls"": 0, ""calling_header_list"": [], ""global_call_limiter"": null, ""prefix_international"": """", ""default_public_number"": ""353"", ""incoming_call_limiter"": null, ""outgoing_call_limiter"": null, ""default_private_number"": ""353"", ""incoming_black_list_id"": null, ""max_connection_attempt"": 4, ""prefix_offnet_domestic"": """", ""cdr_default_dw_acs_type"": 0, ""number_pre_analysis_name"": ""IRL_Default"", ""optional_accounting_code"": ""0"", ""call_screening_dto_for_outgoing"": true, ""call_screening_von_call_allowed"": true, ""call_screening_mobile_call_allowed"": true, ""call_screening_short_number_allowed"": false, ""call_screening_domestic_call_allowed"": true, ""call_screening_expensive_call_allowed"": true, ""call_screening_emergency_number_allowed"": false, ""call_screening_international_call_allowed"": true}, ""access"" : [], ""numbering_plan"" : [{""id"" : -1, ""site_id"" : 51013, ""vpn_id"" : 3512, ""public_start"" : ""35316079400"", ""public_end"" : ""35316079499"", ""private_start"" : ""9969400"", ""private_end"" : ""9969499"", ""single_public_number"" : null, ""btlvs_flag"" : false, ""btip_flag"" : false, ""forced_onnet"" : false, ""cli_policy"" : false, ""cdr_text"" : null, ""dto_start"" : null, ""single_dto_number"" : null, ""max_length_public"" : 32, ""max_length_private"" : 32, ""priority_level"" : 110, ""cnl_id"" : null}, {""id"" : -1, ""site_id"" : 51013, ""vpn_id"" : 3512, ""public_start"" : ""35316079300"", ""public_end"" : ""35316079399"", ""private_start"" : ""9969300"", ""private_end"" : ""9969399"", ""single_public_number"" : null, ""btlvs_flag"" : false, ""btip_flag"" : false, ""forced_onnet"" : false, ""cli_policy"" : false, ""cdr_text"" : null, ""dto_start"" : null, ""single_dto_number"" : null, ""max_length_public"" : 32, ""max_length_private"" : 32, ""priority_level"" : 110, ""cnl_id"" : null}, {""id"" : -1, ""site_id"" : 51013, ""vpn_id"" : 3512, ""public_start"" : ""35317039200"", ""public_end"" : ""35317039299"", ""private_start"" : ""9969200"", ""private_end"" : ""9969299"", ""single_public_number"" : null, ""btlvs_flag"" : false, ""btip_flag"" : false, ""forced_onnet"" : false, ""cli_policy"" : false, ""cdr_text"" : null, ""dto_start"" : null, ""single_dto_number"" : null, ""max_length_public"" : 32, ""max_length_private"" : 32, ""priority_level"" : 110, ""cnl_id"" : null}, {""id"" : -1, ""site_id"" : 51013, ""vpn_id"" : 3512, ""public_start"" : ""35317039100"", ""public_end"" : ""35317039199"", ""private_start"" : ""9969100"", ""private_end"" : ""9969199"", ""single_public_number"" : null, ""btlvs_flag"" : false, ""btip_flag"" : false, ""forced_onnet"" : false, ""cli_policy"" : false, ""cdr_text"" : null, ""dto_start"" : null, ""single_dto_number"" : null, ""max_length_public"" : 32, ""max_length_private"" : 32, ""priority_level"" : 110, ""cnl_id"" : null}, {""id"" : -1, ""site_id"" : 51013, ""vpn_id"" : 3512, ""public_start"" : ""35317039000"", ""public_end"" : ""35317039099"", ""private_start"" : ""9969000"", ""private_end"" : ""9969099"", ""single_public_number"" : null, ""btlvs_flag"" : false, ""btip_flag"" : false, ""forced_onnet"" : false, ""cli_policy"" : false, ""cdr_text"" : null, ""dto_start"" : null, ""single_dto_number"" : null, ""max_length_public"" : 32, ""max_length_private"" : 32, ""priority_level"" : 110, ""cnl_id"" : null}]}"
45641,5820,"{""site"" : {""id"": 45641, ""name"": ""THIAIS"", ""state"": ""CLOSED"", ""it_key"": ""CD02QCJP99"", ""pidflo"": null, ""scl_id"": null, ""vpn_id"": ""5820"", ""site_town"": ""THIAIS"", ""site_type"": ""NORMAL_SINGLE_CONNECTED"", ""bcr_product"": ""BTIP"", ""hkh_site_id"": ""45641"", ""country_code"": ""33"", ""country_name"": ""France"", ""customer_name"": ""NICOLAS"", ""gvpn_ivr_flag"": ""0"", ""cdr_text_field"": ""FT"", ""dpac_off_local"": null, ""prefix_private"": """", ""time_zone_name"": ""None"", ""reroute_profile"": null, ""default_cde_info"": ""999"", ""dto_for_incoming"": true, ""group_of_sa_equip"": ""None"", ""bcr_exception_list"": null, ""called_header_list"": [], ""customer_reference"": ""36423"", ""accounting_code_len"": 0, ""autocutoff_expcalls"": 0, ""calling_header_list"": [], ""global_call_limiter"": 50, ""prefix_international"": """", ""default_public_number"": ""33141738181"", ""incoming_call_limiter"": 50, ""outgoing_call_limiter"": 50, ""default_private_number"": ""332008181"", ""incoming_black_list_id"": null, ""max_connection_attempt"": 4, ""prefix_offnet_domestic"": """", ""cdr_default_dw_acs_type"": 10, ""number_pre_analysis_name"": ""FRA_Default"", ""optional_accounting_code"": ""1"", ""call_screening_dto_for_outgoing"": true, ""call_screening_von_call_allowed"": true, ""call_screening_mobile_call_allowed"": true, ""call_screening_short_number_allowed"": true, ""call_screening_domestic_call_allowed"": true, ""call_screening_expensive_call_allowed"": true, ""call_screening_emergency_number_allowed"": true, ""call_screening_international_call_allowed"": true}, ""access"" : [], ""numbering_plan"" : []}"
